palindrome length:5
[2019-05-03 11:38] Train Step 0000/2000, Batch Size = 128,                 Examples/Sec = 20040.72, Accuracy = 0.09, Loss = 5.456
[2019-05-03 11:38] Train Step 0010/2000, Batch Size = 128,                 Examples/Sec = 30282.08, Accuracy = 0.23, Loss = 2.933
[2019-05-03 11:38] Train Step 0020/2000, Batch Size = 128,                 Examples/Sec = 28913.77, Accuracy = 0.41, Loss = 1.957
[2019-05-03 11:38] Train Step 0030/2000, Batch Size = 128,                 Examples/Sec = 31666.33, Accuracy = 0.47, Loss = 1.375
[2019-05-03 11:38] Train Step 0040/2000, Batch Size = 128,                 Examples/Sec = 32302.70, Accuracy = 0.49, Loss = 1.287
[2019-05-03 11:38] Train Step 0050/2000, Batch Size = 128,                 Examples/Sec = 31288.01, Accuracy = 0.46, Loss = 1.401
[2019-05-03 11:38] Train Step 0060/2000, Batch Size = 128,                 Examples/Sec = 30687.11, Accuracy = 0.49, Loss = 1.220
[2019-05-03 11:38] Train Step 0070/2000, Batch Size = 128,                 Examples/Sec = 28555.44, Accuracy = 0.54, Loss = 1.178
[2019-05-03 11:38] Train Step 0080/2000, Batch Size = 128,                 Examples/Sec = 30441.76, Accuracy = 0.49, Loss = 1.180
[2019-05-03 11:38] Train Step 0090/2000, Batch Size = 128,                 Examples/Sec = 30071.75, Accuracy = 0.45, Loss = 1.065
[2019-05-03 11:38] Train Step 0100/2000, Batch Size = 128,                 Examples/Sec = 31004.33, Accuracy = 0.52, Loss = 1.037
[2019-05-03 11:38] Train Step 0110/2000, Batch Size = 128,                 Examples/Sec = 30019.62, Accuracy = 0.60, Loss = 0.886
[2019-05-03 11:38] Train Step 0120/2000, Batch Size = 128,                 Examples/Sec = 36782.06, Accuracy = 0.66, Loss = 0.870
[2019-05-03 11:38] Train Step 0130/2000, Batch Size = 128,                 Examples/Sec = 32178.79, Accuracy = 0.50, Loss = 0.943
[2019-05-03 11:38] Train Step 0140/2000, Batch Size = 128,                 Examples/Sec = 32230.95, Accuracy = 0.59, Loss = 0.962
[2019-05-03 11:38] Train Step 0150/2000, Batch Size = 128,                 Examples/Sec = 28195.52, Accuracy = 0.57, Loss = 0.967
[2019-05-03 11:38] Train Step 0160/2000, Batch Size = 128,                 Examples/Sec = 38271.38, Accuracy = 0.76, Loss = 0.743
[2019-05-03 11:38] Train Step 0170/2000, Batch Size = 128,                 Examples/Sec = 38046.27, Accuracy = 0.77, Loss = 0.714
[2019-05-03 11:38] Train Step 0180/2000, Batch Size = 128,                 Examples/Sec = 23047.61, Accuracy = 0.55, Loss = 0.789
[2019-05-03 11:38] Train Step 0190/2000, Batch Size = 128,                 Examples/Sec = 33224.27, Accuracy = 0.84, Loss = 0.625
[2019-05-03 11:38] Train Step 0200/2000, Batch Size = 128,                 Examples/Sec = 30022.98, Accuracy = 0.62, Loss = 0.723
[2019-05-03 11:38] Train Step 0210/2000, Batch Size = 128,                 Examples/Sec = 31443.77, Accuracy = 0.73, Loss = 0.715
[2019-05-03 11:38] Train Step 0220/2000, Batch Size = 128,                 Examples/Sec = 26396.13, Accuracy = 0.84, Loss = 0.540
[2019-05-03 11:38] Train Step 0230/2000, Batch Size = 128,                 Examples/Sec = 31113.93, Accuracy = 0.61, Loss = 0.727
[2019-05-03 11:38] Train Step 0240/2000, Batch Size = 128,                 Examples/Sec = 28587.38, Accuracy = 0.82, Loss = 0.522
[2019-05-03 11:38] Train Step 0250/2000, Batch Size = 128,                 Examples/Sec = 30234.33, Accuracy = 0.63, Loss = 0.662
[2019-05-03 11:38] Train Step 0260/2000, Batch Size = 128,                 Examples/Sec = 31355.62, Accuracy = 0.72, Loss = 0.572
[2019-05-03 11:38] Train Step 0270/2000, Batch Size = 128,                 Examples/Sec = 35760.40, Accuracy = 0.77, Loss = 0.616
[2019-05-03 11:38] Train Step 0280/2000, Batch Size = 128,                 Examples/Sec = 31157.27, Accuracy = 0.92, Loss = 0.421
[2019-05-03 11:38] Train Step 0290/2000, Batch Size = 128,                 Examples/Sec = 31536.12, Accuracy = 0.77, Loss = 0.442
[2019-05-03 11:38] Train Step 0300/2000, Batch Size = 128,                 Examples/Sec = 34005.00, Accuracy = 0.97, Loss = 0.348
[2019-05-03 11:38] Train Step 0310/2000, Batch Size = 128,                 Examples/Sec = 32656.38, Accuracy = 0.96, Loss = 0.335
[2019-05-03 11:38] Train Step 0320/2000, Batch Size = 128,                 Examples/Sec = 27468.45, Accuracy = 0.74, Loss = 0.515
[2019-05-03 11:38] Train Step 0330/2000, Batch Size = 128,                 Examples/Sec = 32517.92, Accuracy = 0.94, Loss = 0.347
[2019-05-03 11:38] Train Step 0340/2000, Batch Size = 128,                 Examples/Sec = 28220.72, Accuracy = 1.00, Loss = 0.268
[2019-05-03 11:38] Train Step 0350/2000, Batch Size = 128,                 Examples/Sec = 30493.63, Accuracy = 0.77, Loss = 0.441
[2019-05-03 11:38] Train Step 0360/2000, Batch Size = 128,                 Examples/Sec = 34237.03, Accuracy = 0.86, Loss = 0.417
[2019-05-03 11:38] Train Step 0370/2000, Batch Size = 128,                 Examples/Sec = 27771.10, Accuracy = 0.87, Loss = 0.379
[2019-05-03 11:38] Train Step 0380/2000, Batch Size = 128,                 Examples/Sec = 37773.23, Accuracy = 0.85, Loss = 0.407
[2019-05-03 11:38] Train Step 0390/2000, Batch Size = 128,                 Examples/Sec = 34957.09, Accuracy = 1.00, Loss = 0.218
[2019-05-03 11:38] Train Step 0400/2000, Batch Size = 128,                 Examples/Sec = 34372.94, Accuracy = 0.84, Loss = 0.336
[2019-05-03 11:38] Train Step 0410/2000, Batch Size = 128,                 Examples/Sec = 28731.18, Accuracy = 0.77, Loss = 0.378
[2019-05-03 11:38] Train Step 0420/2000, Batch Size = 128,                 Examples/Sec = 31282.54, Accuracy = 0.83, Loss = 0.375
[2019-05-03 11:38] Train Step 0430/2000, Batch Size = 128,                 Examples/Sec = 32017.59, Accuracy = 1.00, Loss = 0.244
[2019-05-03 11:38] Train Step 0440/2000, Batch Size = 128,                 Examples/Sec = 32527.77, Accuracy = 0.84, Loss = 0.313
[2019-05-03 11:38] Train Step 0450/2000, Batch Size = 128,                 Examples/Sec = 30353.98, Accuracy = 0.91, Loss = 0.317
[2019-05-03 11:38] Train Step 0460/2000, Batch Size = 128,                 Examples/Sec = 28538.75, Accuracy = 0.96, Loss = 0.263
[2019-05-03 11:38] Train Step 0470/2000, Batch Size = 128,                 Examples/Sec = 39150.51, Accuracy = 0.89, Loss = 0.268
[2019-05-03 11:38] Train Step 0480/2000, Batch Size = 128,                 Examples/Sec = 31850.43, Accuracy = 1.00, Loss = 0.153
[2019-05-03 11:38] Train Step 0490/2000, Batch Size = 128,                 Examples/Sec = 27572.85, Accuracy = 0.92, Loss = 0.229
[2019-05-03 11:38] Train Step 0500/2000, Batch Size = 128,                 Examples/Sec = 39213.42, Accuracy = 0.89, Loss = 0.223
[2019-05-03 11:38] Train Step 0510/2000, Batch Size = 128,                 Examples/Sec = 29279.61, Accuracy = 1.00, Loss = 0.155
[2019-05-03 11:38] Train Step 0520/2000, Batch Size = 128,                 Examples/Sec = 30386.63, Accuracy = 0.94, Loss = 0.201
[2019-05-03 11:38] Train Step 0530/2000, Batch Size = 128,                 Examples/Sec = 27853.23, Accuracy = 0.91, Loss = 0.252
[2019-05-03 11:38] Train Step 0540/2000, Batch Size = 128,                 Examples/Sec = 29016.91, Accuracy = 0.85, Loss = 0.256
[2019-05-03 11:38] Train Step 0550/2000, Batch Size = 128,                 Examples/Sec = 30611.87, Accuracy = 0.98, Loss = 0.172
[2019-05-03 11:38] Train Step 0560/2000, Batch Size = 128,                 Examples/Sec = 27384.39, Accuracy = 0.95, Loss = 0.196
[2019-05-03 11:38] Train Step 0570/2000, Batch Size = 128,                 Examples/Sec = 21450.81, Accuracy = 1.00, Loss = 0.091
[2019-05-03 11:38] Train Step 0580/2000, Batch Size = 128,                 Examples/Sec = 30029.70, Accuracy = 1.00, Loss = 0.080
[2019-05-03 11:38] Train Step 0590/2000, Batch Size = 128,                 Examples/Sec = 29524.36, Accuracy = 1.00, Loss = 0.085
[2019-05-03 11:38] Train Step 0600/2000, Batch Size = 128,                 Examples/Sec = 37962.87, Accuracy = 1.00, Loss = 0.070
[2019-05-03 11:38] Train Step 0610/2000, Batch Size = 128,                 Examples/Sec = 37370.94, Accuracy = 1.00, Loss = 0.060
[2019-05-03 11:38] Train Step 0620/2000, Batch Size = 128,                 Examples/Sec = 26958.12, Accuracy = 0.98, Loss = 0.133
[2019-05-03 11:38] Train Step 0630/2000, Batch Size = 128,                 Examples/Sec = 23677.82, Accuracy = 0.84, Loss = 0.321
[2019-05-03 11:38] Train Step 0640/2000, Batch Size = 128,                 Examples/Sec = 29633.54, Accuracy = 0.91, Loss = 0.244
[2019-05-03 11:38] Train Step 0650/2000, Batch Size = 128,                 Examples/Sec = 30590.94, Accuracy = 0.91, Loss = 0.212
[2019-05-03 11:38] Train Step 0660/2000, Batch Size = 128,                 Examples/Sec = 38419.27, Accuracy = 0.93, Loss = 0.212
[2019-05-03 11:38] Train Step 0670/2000, Batch Size = 128,                 Examples/Sec = 30200.31, Accuracy = 0.90, Loss = 0.183
[2019-05-03 11:38] Train Step 0680/2000, Batch Size = 128,                 Examples/Sec = 37459.59, Accuracy = 1.00, Loss = 0.066
[2019-05-03 11:38] Train Step 0690/2000, Batch Size = 128,                 Examples/Sec = 39150.51, Accuracy = 1.00, Loss = 0.047
[2019-05-03 11:38] Train Step 0700/2000, Batch Size = 128,                 Examples/Sec = 30065.01, Accuracy = 1.00, Loss = 0.042
[2019-05-03 11:38] Train Step 0710/2000, Batch Size = 128,                 Examples/Sec = 32506.11, Accuracy = 1.00, Loss = 0.027
[2019-05-03 11:38] Train Step 0720/2000, Batch Size = 128,                 Examples/Sec = 28186.64, Accuracy = 1.00, Loss = 0.041
[2019-05-03 11:38] Train Step 0730/2000, Batch Size = 128,                 Examples/Sec = 32688.19, Accuracy = 1.00, Loss = 0.035
[2019-05-03 11:38] Train Step 0740/2000, Batch Size = 128,                 Examples/Sec = 28746.57, Accuracy = 1.00, Loss = 0.030
[2019-05-03 11:38] Train Step 0750/2000, Batch Size = 128,                 Examples/Sec = 31333.66, Accuracy = 1.00, Loss = 0.029
[2019-05-03 11:38] Train Step 0760/2000, Batch Size = 128,                 Examples/Sec = 32435.41, Accuracy = 1.00, Loss = 0.025
[2019-05-03 11:38] Train Step 0770/2000, Batch Size = 128,                 Examples/Sec = 38830.53, Accuracy = 1.00, Loss = 0.031
[2019-05-03 11:38] Train Step 0780/2000, Batch Size = 128,                 Examples/Sec = 38654.40, Accuracy = 1.00, Loss = 0.021
[2019-05-03 11:38] Train Step 0790/2000, Batch Size = 128,                 Examples/Sec = 26406.52, Accuracy = 1.00, Loss = 0.024
[2019-05-03 11:38] Train Step 0800/2000, Batch Size = 128,                 Examples/Sec = 37290.47, Accuracy = 1.00, Loss = 0.024
[2019-05-03 11:38] Train Step 0810/2000, Batch Size = 128,                 Examples/Sec = 38124.62, Accuracy = 1.00, Loss = 0.020
[2019-05-03 11:38] Train Step 0820/2000, Batch Size = 128,                 Examples/Sec = 38027.41, Accuracy = 1.00, Loss = 0.019
[2019-05-03 11:38] Train Step 0830/2000, Batch Size = 128,                 Examples/Sec = 29535.73, Accuracy = 1.00, Loss = 0.017
[2019-05-03 11:38] Train Step 0840/2000, Batch Size = 128,                 Examples/Sec = 41234.33, Accuracy = 1.00, Loss = 0.016
[2019-05-03 11:38] Train Step 0850/2000, Batch Size = 128,                 Examples/Sec = 38211.45, Accuracy = 1.00, Loss = 0.015
